depth,trial,alg,N,U,found,cost,deltaS_mean,deltaD,optCost
4,0,BiDijkstra,152,31,1,122.00,0.941752,0.614014,122.00
4,1,BiDijkstra,152,31,1,102.00,0.929973,0.628569,102.00
4,2,BiDijkstra,175,31,1,133.00,0.952689,0.567041,133.00
4,3,BiDijkstra,151,31,1,111.00,0.954553,0.676861,111.00
4,4,BiDijkstra,181,31,1,116.00,0.959678,0.689358,116.00
4,5,BiDijkstra,161,31,1,117.00,0.964096,0.634023,117.00
4,6,BiDijkstra,168,31,1,122.00,0.958956,0.710065,122.00
4,7,BiDijkstra,161,31,1,128.00,0.954364,0.705756,128.00
4,8,BiDijkstra,140,31,1,100.00,0.893512,0.616340,100.00
4,9,BiDijkstra,148,31,1,124.00,0.963154,0.747961,124.00
4,10,BiDijkstra,155,31,1,111.00,0.953544,0.673881,111.00
4,11,BiDijkstra,165,31,1,141.00,0.947684,0.650742,141.00
4,12,BiDijkstra,165,31,1,108.00,0.932443,0.721470,108.00
4,13,BiDijkstra,183,31,1,136.00,0.948427,0.637920,136.00
4,14,BiDijkstra,152,33,1,122.00,0.958916,0.752771,122.00
4,15,BiDijkstra,146,31,1,116.00,0.943874,0.701024,116.00
4,16,BiDijkstra,163,33,1,111.00,0.933820,0.662658,111.00
4,17,BiDijkstra,179,31,1,129.00,0.960262,0.805564,129.00
4,18,BiDijkstra,163,31,1,110.00,0.947734,0.624806,110.00
4,19,BiDijkstra,125,31,1,125.00,0.940225,0.699227,125.00
4,20,BiDijkstra,162,31,1,114.00,0.935322,0.597139,114.00
4,21,BiDijkstra,141,31,1,113.00,0.945059,0.687102,113.00
4,22,BiDijkstra,193,31,1,112.00,0.952054,0.702446,112.00
4,23,BiDijkstra,171,31,1,130.00,0.952085,0.703272,130.00
4,24,BiDijkstra,148,31,1,134.00,0.947031,0.674680,134.00
4,25,BiDijkstra,117,33,1,104.00,0.941946,0.746738,104.00
4,26,BiDijkstra,182,33,1,118.00,0.937296,0.691604,118.00
4,27,BiDijkstra,164,31,1,113.00,0.954101,0.734386,113.00
4,28,BiDijkstra,147,33,1,111.00,0.959560,0.635277,111.00
4,29,BiDijkstra,154,31,1,133.00,0.947371,0.631925,133.00
6,0,BiDijkstra,366,47,1,192.00,0.969706,0.657779,192.00
6,1,BiDijkstra,375,47,1,195.00,0.965036,0.681719,195.00
6,2,BiDijkstra,410,49,1,173.00,0.952922,0.616825,173.00
6,3,BiDijkstra,410,47,1,179.00,0.968373,0.706764,179.00
6,4,BiDijkstra,356,47,1,156.00,0.956330,0.732811,156.00
6,5,BiDijkstra,410,47,1,182.00,0.966413,0.658877,182.00
6,6,BiDijkstra,382,47,1,180.00,0.966896,0.796320,180.00
6,7,BiDijkstra,366,47,1,177.00,0.960038,0.672117,177.00
6,8,BiDijkstra,328,49,1,174.00,0.972275,0.696301,174.00
6,9,BiDijkstra,374,47,1,170.00,0.964801,0.679259,170.00
6,10,BiDijkstra,333,49,1,179.00,0.951448,0.641273,179.00
6,11,BiDijkstra,369,47,1,184.00,0.971856,0.725057,184.00
