depth,trial,alg,N,U,found,cost,deltaS_mean,deltaD,optCost
4,0,BFS,222,31,1,183.00,1.000000,1.000000,122.00
4,0,Dijkstra,222,31,1,122.00,0.961608,0.614014,122.00
4,0,A*,221,31,1,122.00,0.983169,0.614014,122.00
4,0,WA*(1.5),218,31,1,122.00,0.986370,0.724418,122.00
4,0,WA*(2.0),202,31,1,122.00,0.989135,0.793727,122.00
4,0,GBFS,32,31,1,183.00,1.000000,0.128691,122.00
4,0,BiDijkstra,141,31,1,118.00,0.938227,0.712430,122.00
4,0,RBFS,54956,31,1,122.00,0.854801,0.614014,122.00
4,0,IDA*,10000018,0,0,NA,0.988455,1.000000,122.00
4,0,AlphaBeta,176,5,1,NA,0.869795,1.000000,122.00
4,0,NoisyPrune(p=0.3),219,31,1,148.00,0.990856,0.620014,122.00
4,0,NoisyPrune(p=0.6),208,31,1,159.00,0.985818,0.577409,122.00
4,1,BFS,218,31,1,167.00,1.000000,1.000000,102.00
4,1,Dijkstra,213,31,1,102.00,0.947703,0.628569,102.00
4,1,A*,209,31,1,102.00,0.974845,0.628569,102.00
4,1,WA*(1.5),199,31,1,102.00,0.979411,0.737057,102.00
4,1,WA*(2.0),191,31,1,102.00,0.981827,0.785750,102.00
4,1,GBFS,32,31,1,167.00,1.000000,0.133177,102.00
4,1,BiDijkstra,148,31,1,100.00,0.929973,0.799284,102.00
4,1,RBFS,38167,31,1,102.00,0.842634,0.628569,102.00
4,1,IDA*,10000022,0,0,NA,0.986397,1.000000,102.00
4,1,AlphaBeta,159,5,1,NA,0.785051,1.000000,102.00
4,1,NoisyPrune(p=0.3),198,31,1,111.00,0.990227,0.548454,102.00
4,1,NoisyPrune(p=0.6),185,0,0,NA,0.980850,1.000000,102.00
4,2,BFS,228,31,1,162.00,1.000000,1.000000,133.00
4,2,Dijkstra,228,31,1,133.00,0.968684,0.567041,133.00
4,2,A*,228,31,1,133.00,0.983673,0.567041,133.00
4,2,WA*(1.5),228,31,1,133.00,0.987793,0.677169,133.00
4,2,WA*(2.0),228,31,1,133.00,0.989517,0.766557,133.00
4,2,GBFS,35,35,1,176.00,1.000000,0.191374,133.00
4,2,BiDijkstra,172,31,1,124.00,0.951481,0.722584,133.00
4,2,RBFS,83047,31,1,133.00,0.839336,0.567041,133.00
4,2,IDA*,10000018,0,0,NA,0.987416,1.000000,133.00
4,2,AlphaBeta,209,5,1,NA,0.805652,1.000000,133.00
4,2,NoisyPrune(p=0.3),222,31,1,142.00,0.991476,0.587820,133.00
4,2,NoisyPrune(p=0.6),212,37,1,207.00,0.987919,0.399839,133.00
4,3,BFS,227,31,1,151.00,1.000000,1.000000,111.00
